Level;name;code;allfacet
1;OATS -/- Not in list -/- -/- -/- Unprocessed -/- Oats;A0BCD;A0BCD
1;OATS -/- Not in list -/- -/- -/- Unprocessed -/- Oats;A0BCD;A0BCD
1;RYE -/- Not in list -/- -/- -/- Unprocessed -/- Rye;A07XH;A07XH
1;RYE BRAN -/- Not in list -/- -/- -/- Milling - bran production -/- Rye bran (Feed);A0EFX;A0EFX
1;TRITICALE -/- Not in list -/- -/- -/- Milling - unprocessed flour -/- Triticale;A04KS#F27.A001V;A04KS#F02.A067Z$F28.A0C0A
1;TRITICALE -/- Not in list -/- -/- -/- Unprocessed -/- Triticale;A05XB;A05XB
1;WHEAT -/- Not in list -/- -/- -/- Unprocessed -/- Wheat;A05VX;A05VX
1;WHEAT -/- Not in list -/- -/- -/- Milling -/- Wheat;A0BDC;A0BDC
1;WHEAT -/- Not in list -/- -/- -/- Unprocessed -/- Wheat;A05VX;A05VX
1;WHEAT BRAN -/- Not in list -/- -/- -/- Milling - bran production -/- Wheat bran (Feed);A0EFV;A0EFV
1;WHEAT MIDDLINGS -/- Not in list -/- -/- -/- Milling -/- Wheat middlings;A0BDC;A0BDC
1;FROZEN PIZZA -/- Not in list -/- -/- Plastic/plastic film -/- Processed -/- 10493870 -/- Pizza and pizza-like pies;A03ZN#F19.A07PR$F28.A07KQ;A03ZN#F02.A06GQ$F04.A006Q
1;CANNED DINNERS -/- Not in list -/- -/- Metal -/- Canning -/- 10493870 -/- Composite food (including frozen products);A03VB#F18.A07NS$F19.A07PG$F28.A0BYP;A03VB
1;HAMBURGERS -/- Not in list -/- -/- Plastic/plastic film -/- Unknown -/- 10493870 -/- Meat burger;A03XF#F19.A07PR;A03XF#F02.A06GH$F04.A0EYH
1;BREEDING PIGS / COMPLETE FEED -/- Not in list -/- -/- -/- Processed -/- Breeding pigs / Complete feed;A0BT8;A0BT8
1;DAIRY COWS / COMPLETE FEED -/- Not in list -/- -/- -/- Processed -/- Dairy cows / Complete feed;A0BT5;A0BT5
1;FATTENING CHICKENS (BROILERS) / COMPLETE FEED -/- Not in list -/- -/- -/- Processed -/- Fattening chickens (broilers) / Complete feed;A0BTJ;A0BTJ
1;FATTENING TURKEYS / COMPLETE FEED -/- Not in list -/- -/- -/- Processed -/- Fattening turkeys / Complete feed;A0BTL;A0BTL
1;FISH / COMPLETE FEED -/- Not in list -/- -/- -/- Processed -/- Fish / Complete feed;A0BTS;A0BTS
1;FEED FOR FUR ANIMALS, PETS AND FISH -/- Not in list -/- -/- -/- Extrusion -/- Fish / Complete feed;A0BTZ#F28.A07LF;A0BTZ
1;GROWING/FATTENING PIGS / COMPLETE FEED -/- Not in list -/- -/- -/- Unprocessed -/- Growing/Fattening pigs / Complete feed;A0BT7;A0BT7
1;GROWING/FATTENING PIGS / COMPLETE FEED -/- Not in list -/- -/- -/- Processed -/- Growing/Fattening pigs / Complete feed;A0BT7;A0BT7
1;LAYING HENS / COMPLETE FEED -/- Not in list -/- -/- -/- Processed -/- Laying hens / Complete feed;A0BTK;A0BTK
1;PIGLETS (WEANING DIETS) / COMPLETE FEED -/- Not in list -/- -/- -/- Processed -/- Piglets (weaning diets) / Complete feed;A0BT6;A0BT6
1;BOTTLED WATER -/- Not in list -/- -/- Plastic/plastic film -/- Unknown -/- 10493870 -/- Bottled water;A03DT#F19.A07PR;A03DT#F02.A06CA$F27.A03DT
1;WHOLE EGG, CHICKEN -/- Not in list -/- -/- -/- Processed -/- Whole egg, chicken;A031G;A031G#F01.A057Z$F02.A06BR$F27.A031G
1;WHOLE EGG -/- Not in list -/- -/- Cardboard/paperboard -/- Unprocessed -/- 10493870 -/- Whole egg, chicken;A031G#F19.A07PQ;A031G#F01.A057Z$F02.A06BR$F27.A031G
1;COMPOUND FEEDINGSTUFFS -/- Not in list -/- -/- -/- Processed -/- Feed terms (Commission Regulation (EU) No 575/2011);A0BT0;A0BT0
1;PRODUCTS AND BY-PRODUCTS FROM FERMENTATION PROCESSES AND AMMONIUM SALTS -/- Not in list -/- -/- -/- Processed -/- Fermentation (by-)products from microorganisms the cells of which have been inactivated or killed;A0BRA;A0BRA
1;PROTEIN PRODUCT OF FERMENTATION OBTAINED BY CULTURE OF METHYLOPHILUS METHYLOTROPHUS ON METHANOL -/- Not in list -/- -/- -/- Processed -/- Products obtained from the biomass of specific micro-organisms grown on certain substrates;A0BRB;A0BRB
1;ALL YEASTS — OBTAINED FROM THE MICROORGANISMS AND SUBSTRATES LISTED IN COLUMNS 3 AND 4 RESPECTIVELY — THE CELLS OF WHICH HAVE BEEN KILLED — -/- Not in list -/- -/- -/- Processed -/- Yeasts and like products [Brewers’yeast] [Yeast product];A0BRG;A0BRG
1;YEASTS AND LIKE PRODUCTS [BREWERS’YEAST] [YEAST PRODUCT] -/- Not in list -/- -/- -/- Fermentation -/- Yeasts and like products [Brewers’yeast] [Yeast product];A0BRG;A0BRG
1;PERIWINKLE -/- Not in list -/- -/- -/- Unprocessed -/- Snail (Helix sp );A02LK;A02LK#F01.A04TB$F02.A0EME$F27.A02LK
1;PREPACKED FROZEN CRABS -/- Not in list -/- -/- -/- Freezing -/- Crab (Cancer spp );A02FL#F28.A07KQ;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CRAB MEAT -/- Not in list -/- -/- -/- Unknown -/- Crab (Cancer spp );A02FL;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CANNED -/- Not in list -/- -/- -/- Canning -/- Crab (Cancer spp );A0BZ5#F27.A02FL;A0BZ5#F02.A0EMZ
1;KING CRAB MEAT -/- Not in list -/- -/- -/- Unknown -/- Crab (Cancer spp );A0FCR;A0FCR#F01.A0ZNR$F02.A0EMF$F27.A0FCR
1;PREPACKED CRABS -/- Not in list -/- -/- -/- Unknown -/- Crab (Cancer spp );A02FL;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CHILLED SWORDFISH -/- Not in list -/- -/- -/- Unprocessed -/- Crab (Cancer spp );A07Y0#F28.A07KQ;A07Y0#F01.A09YN$F02.A0EMD$F27.A07Y0
1;FROZEN CUT CRAB -/- Not in list -/- -/- -/- Freezing -/- Crab (Cancer spp );A02FL#F28.A07KQ;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CRAB MEAT IN BRINE -/- Not in list -/- -/- -/- Preserving -/- Crab (Cancer spp );A0BZ5#F06.A06XT$F27.A02FD;A0BZ5#F02.A0EMZ
1;PREPARED CRAB MEAT -/- Not in list -/- -/- -/- Unknown -/- Crab (Cancer spp );A02FL;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CRAB (CANCER SPP ) -/- Not in list -/- -/- -/- Unprocessed -/- Crab (Cancer spp );A02FL;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CRAB -/- Not in list -/- -/- -/- Unprocessed -/- CLAW MEAT -/- Crab (Cancer spp );A02FL;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CRAB -/- Not in list -/- -/- -/- Unprocessed -/- BROWN MEAT -/- Crab (Cancer spp );A02FL#F02.A06AA;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CRAB -/- Not in list -/- -/- -/- Unprocessed -/- Crab (Cancer spp );A02FL;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CLAW -/- Not in list -/- -/- -/- Unprocessed -/- Crab (Cancer spp );A02FL;A02FL#F01.A053V$F02.A0EMF$F27.A02FL
1;CRAB MEAT -/- Not in list -/- -/- -/- Unknown -/- Crustaceans;A02FD;A02FD#F02.A0EMF$F27.A02FD
1;SHRIMP -/- Not in list -/- -/- -/- Unprocessed -/- PEELED -/- Shrimps (Crangon crangon);A02GB#F20.A07QD;A02GB#F01.A054K$F01.A054F$F02.A0EMF$F27.A02GB
1;WHOLE WITH SHELL -/- Not in list -/- -/- -/- Unprocessed -/- Shrimps (Crangon crangon);A02GB;A02GB#F01.A054K$F01.A054F$F02.A0EMF$F27.A02GB
1;WHOLE WITHOUT SHELL -/- Not in list -/- -/- -/- Unprocessed -/- Shrimps (Crangon crangon);A02GB#F20.A07QD;A02GB#F01.A054K$F01.A054F$F02.A0EMF$F27.A02GB
1;SHRIMP -/- Not in list -/- -/- -/- Unprocessed -/- WHOLE -/- Shrimps (Crangon crangon);A02GB;A02GB#F01.A054K$F01.A054F$F02.A0EMF$F27.A02GB
1;CARP (CYPRINUS) -/- Not in list -/- -/- -/- Smoking -/- Carp (Cyprinus);A0EYS#F27.A027C;A0EYS#F02.A0EMX$F28.A07JV
1;CARP (CYPRINUS) -/- Not in list -/- -/- -/- Processed -/- Carp (Cyprinus);A027C;A027C#F01.A07YP$F02.A0EMD$F27.A027C
1;ARCTIC CHAR -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Char (Salvelinus);A029G#F03.A06HZ;A029G#F01.A04XY$F02.A0EMD$F27.A029G
1;ATLANTIC COD -/- Not in list -/- -/- -/- Unprocessed -/- LIVER -/- Cod and whiting (Gadus spp );A02EL;A02EL#F01.A050K$F02.A069L$F27.A02EL
1;TUSK -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Cod and whiting (Gadus spp );A02CD#F03.A06HZ;A02CD#F01.A0F2K$F01.A050J$F02.A0EMD$F27.A02CD
1;POLAR COD -/- Not in list -/- -/- -/- Unprocessed -/- WHOLE -/- Cod and whiting (Gadus spp );A02BV;A02BV#F01.A050K$F01.A050J$F02.A0EMD$F27.A02BV
1;POLAR COD -/- Not in list -/- -/- -/- Unprocessed -/- Cod and whiting (Gadus spp );A02BV;A02BV#F01.A050K$F01.A050J$F02.A0EMD$F27.A02BV
1;MUSCLE -/- Not in list -/- -/- -/- Unprocessed -/- Cod and whiting (Gadus spp );A02BV;A02BV#F01.A050K$F01.A050J$F02.A0EMD$F27.A02BV
1;COMMON LING -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Cod and whiting (Gadus spp );A02CC#F03.A06HZ;A02CC#F01.A050R$F02.A0EMD$F27.A02CC
1;COD AND WHITING (GADUS SPP ) -/- Not in list -/- -/- -/- Unprocessed -/- Cod and whiting (Gadus spp );A02BV;A02BV#F01.A050K$F01.A050J$F02.A0EMD$F27.A02BV
1;ATLANTIC COD -/- Not in list -/- -/- -/- Unprocessed -/- GONADS -/- Cod and whiting (Gadus spp );A02BX#F02.A0BYK;A02BX#F01.A050K$F01.A050L$F02.A0EMD$F27.A02BX
1;ATLANTIC COD -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Cod and whiting (Gadus spp );A02BX#F03.A06HZ;A02BX#F01.A050K$F01.A050L$F02.A0EMD$F27.A02BX
1;ATLANTIC COD -/- Not in list -/- -/- -/- Unprocessed -/- Cod and whiting (Gadus spp );A02BX;A02BX#F01.A050K$F01.A050L$F02.A0EMD$F27.A02BX
1;EEL -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Eels (Apodes);A028G#F03.A06HZ;A028G#F01.A04VV$F02.A0EMD$F27.A028G
1;FISH MEAT -/- Not in list -/- -/- -/- Processed -/- Fish meat;A026V;A026V#F02.A0EMD$F27.A026V
1;PANGASIUS FILLETS -/- Not in list -/- -/- -/- Unknown -/- Fish meat;A0F8N#F03.A06HZ;A0F8N#F01.A080J$F01.A04TY$F02.A0EMD$F27.A0F8N
1;FROZEN GROUPER TEAKS -/- Not in list -/- -/- -/- Freezing -/- Fish meat;A027N#F28.A07KQ;A027N#F01.A04VC$F02.A0EMD$F27.A027N
1;FRESH TUNA -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02DX;A02DX#F01.A052R$F01.A052M$F02.A0EMD$F27.A02DX
1;PANGASIUS FILLET -/- Not in list -/- -/- -/- Unknown -/- Fish meat;A0F8N#F03.A06HZ;A0F8N#F01.A080J$F01.A04TY$F02.A0EMD$F27.A0F8N
1;RAW SWORDFISH -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A07Y0;A07Y0#F01.A09YN$F02.A0EMD$F27.A07Y0
1;FROZEN SWORDFISH LOIN STEAK -/- Not in list -/- -/- -/- Freezing -/- Fish meat;A07Y0#F28.A07KQ;A07Y0#F01.A09YN$F02.A0EMD$F27.A07Y0
1;FRESH SALMON -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A0C75;A0C75#F01.A086Y$F02.A0EMD$F27.A0C75
1;FOZEN PANGASIUS -/- Not in list -/- -/- -/- Freezing -/- Fish meat;A0F8N#F28.A07KQ;A0F8N#F01.A080J$F01.A04TY$F02.A0EMD$F27.A0F8N
1;SWORDFISH STEAK -/- Not in list -/- -/- -/- Unknown -/- Fish meat;A07Y0;A07Y0#F01.A09YN$F02.A0EMD$F27.A07Y0
1;SWORDFISH -/- Not in list -/- -/- -/- Unknown -/- Fish meat;A07Y0;A07Y0#F01.A09YN$F02.A0EMD$F27.A07Y0
1;FRESH SWORDFISH STEAKS -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A07Y0;A07Y0#F01.A09YN$F02.A0EMD$F27.A07Y0
1;FROZEN SWORDFISH -/- Not in list -/- -/- -/- Freezing -/- Fish meat;A07Y0#F28.A07KQ;A07Y0#F01.A09YN$F02.A0EMD$F27.A07Y0
1;FROZEN GROUPER -/- Not in list -/- -/- -/- Freezing -/- Fish meat;A027N#F28.A07KQ;A027N#F01.A04VC$F02.A0EMD$F27.A027N
1;FRESH SWORDFISH -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A07Y0;A07Y0#F01.A09YN$F02.A0EMD$F27.A07Y0
1;FROZEN FISH PACKED IN PLASTIC -/- Not in list -/- -/- Plastic/plastic film -/- Freezing -/- 10493870 -/- Fish meat;A026V#F19.A07PR$F28.A07KQ;A026V#F02.A0EMD$F27.A026V
1;WHALE -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02KN;A02KN#F01.A056K$F02.A0BYZ$F27.A02KN
1;TURBOT -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Fish meat;A02BG#F03.A06HZ;A02BG#F01.A04ZX$F02.A0EMD$F27.A02BG
1;SPURDOG (SQUALUS ACANTHIAS)-MUSCLE -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02DP;A02DP#F01.A052K$F01.A052E$F02.A0EMD$F27.A02DP
1;SAITHE -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Fish meat;A02CF#F03.A06HZ;A02CF#F01.A050V$F01.A050S$F02.A0EMD$F27.A02CF
1;REDFISH -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Fish meat;A027N#F03.A06HZ;A027N#F01.A04VC$F02.A0EMD$F27.A027N
1;CAPELIN -/- Not in list -/- -/- -/- Unprocessed -/- WHOLE -/- Fish meat;A02BP;A02BP#F01.A050E$F02.A0EMD$F27.A02BP
1;REDFISH -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A027N;A027N#F01.A04VC$F02.A0EMD$F27.A027N
1;MUSCLE-LING (MOLVA MOLVA) -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02CC;A02CC#F01.A050R$F02.A0EMD$F27.A02CC
1;MUSCLE- TUSK (BROSME BROSME) -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02CD;A02CD#F01.A0F2K$F01.A050J$F02.A0EMD$F27.A02CD
1;MUSCLE OF SAITHE (POLLACHIUS VIRENS) -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02CF;A02CF#F01.A050V$F01.A050S$F02.A0EMD$F27.A02CF
1;CAPELIN (MALLOTUS VILLOSUS)+WHOLE -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02BP;A02BP#F01.A050E$F02.A0EMD$F27.A02BP
1;CAPELIN (MALLOTUS VILLOSUS) -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02BP;A02BP#F01.A050E$F02.A0EMD$F27.A02BP
1;CAPELIN -/- Not in list -/- -/- -/- Unprocessed -/- Fish meat;A02BP;A02BP#F01.A050E$F02.A0EMD$F27.A02BP
1;HALIBUT (HIPPOGLOSSUS SPP ) -/- Not in list -/- -/- -/- Unprocessed -/- Halibut (Hippoglossus spp );A02AY;A02AY#F01.A04ZM$F02.A0EMD$F27.A02AY
1;GREENLAND HALIBUT (REINHARDTIUS HIPPOGLOSSOIDES)- MUSCLE -/- Not in list -/- -/- -/- Unprocessed -/- Halibut (Hippoglossus spp );A02BA;A02BA#F01.A04ZP$F01.A04ZM$F02.A0EMD$F27.A02BA
1;GREENLAND HALIBUT -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Halibut (Hippoglossus spp );A02BA#F03.A06HZ;A02BA#F01.A04ZP$F01.A04ZM$F02.A0EMD$F27.A02BA
1;GREENLAND HALIBUT -/- Not in list -/- -/- -/- Unprocessed -/- Halibut (Hippoglossus spp );A02BA;A02BA#F01.A04ZP$F01.A04ZM$F02.A0EMD$F27.A02BA
1;ATLANTIC HALIBUT -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Halibut (Hippoglossus spp );A02AY#F03.A06HZ;A02AY#F01.A04ZM$F02.A0EMD$F27.A02AY
1;MUSCLE -/- Not in list -/- -/- -/- Unprocessed -/- Halibut (Hippoglossus spp );A02AY;A02AY#F01.A04ZM$F02.A0EMD$F27.A02AY
1;LONG ROUGH DAB -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Halibut (Hippoglossus spp );A02AS#F03.A06HZ;A02AS#F01.A04ZH$F02.A0EMD$F27.A02AS
1;HERRING (CLUPEA) -/- Not in list -/- -/- -/- Processed -/- Herring (Clupea);A02DE;A02DE#F01.A0GPG$F02.A0EMD$F27.A02DE
1;MUSCLE -/- Not in list -/- -/- -/- Unprocessed -/- Herring (Clupea);A02DE;A02DE#F01.A0GPG$F02.A0EMD$F27.A02DE
1;HERRING (CLUPEA) -/- Not in list -/- -/- -/- Unprocessed -/- Herring (Clupea);A02DE;A02DE#F01.A0GPG$F02.A0EMD$F27.A02DE
1;HERRING -/- Not in list -/- -/- -/- Unprocessed -/- WHOLE -/- Herring (Clupea);A02DE;A02DE#F01.A0GPG$F02.A0EMD$F27.A02DE
1;HERRING -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Herring (Clupea);A02DE#F03.A06HZ;A02DE#F01.A0GPG$F02.A0EMD$F27.A02DE
1;HERRING -/- Not in list -/- -/- -/- Unprocessed -/- Herring (Clupea);A02DE;A02DE#F01.A0GPG$F02.A0EMD$F27.A02DE
1;FROZEN KING FISH -/- Not in list -/- -/- -/- Freezing -/- Mackeral (Scomber);A02CT#F28.A07KQ;A02CT#F01.A051J$F02.A0EMD$F27.A02CT
1;MACKEREL FILLET IN TOMATO SAUCE (CANNED) -/- Not in list -/- -/- Metal -/- Canning -/- 10493870 -/- Mackeral (Scomber);A0FBV#F04.A00ZD$F06.A06XR;A0FBV#F02.A0EMS$F27.A02CT$F28.A0BYP
1;MACKEREL -/- Not in list -/- -/- -/- Unprocessed -/- Mackeral (Scomber);A02CT;A02CT#F01.A051J$F02.A0EMD$F27.A02CT
1;MUSCLE -/- Not in list -/- -/- -/- Unprocessed -/- Mackeral (Scomber);A02CT;A02CT#F01.A051J$F02.A0EMD$F27.A02CT
1;MACKEREL -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Mackeral (Scomber);A02CT#F03.A06HZ;A02CT#F01.A051J$F02.A0EMD$F27.A02CT
1;PLAICE -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Plaice (Pleuronectes);A02BC#F03.A06HZ;A02BC#F01.A04ZR$F02.A0EMD$F27.A02BC
1;MUSCLE -/- Not in list -/- -/- -/- Unprocessed -/- Plaice (Pleuronectes);A02BC;A02BC#F01.A04ZR$F02.A0EMD$F27.A02BC
1;PLAICE -/- Not in list -/- -/- -/- Unprocessed -/- GONADS -/- Plaice (Pleuronectes);A02BC#F02.A0BYL;A02BC#F01.A04ZR$F02.A0EMD$F27.A02BC
1;SALMON AND TROUT (SALMO SPP ) -/- Not in list -/- -/- -/- Processed -/- Salmon and trout (Salmo spp );A0F2H;A0F2H#F01.A0F2J$F02.A0EMD$F27.A0F2H
1;SALMON -/- Not in list -/- -/- -/- Unknown -/- Salmon and trout (Salmo spp );A0C75;A0C75#F01.A086Y$F02.A0EMD$F27.A0C75
1;FRESH SALMON -/- Not in list -/- -/- -/- Unknown -/- Salmon and trout (Salmo spp );A0C75;A0C75#F01.A086Y$F02.A0EMD$F27.A0C75
1;FRESH SALMON -/- Not in list -/- -/- -/- Unprocessed -/- Salmon and trout (Salmo spp );A0C75;A0C75#F01.A086Y$F02.A0EMD$F27.A0C75
1;SALMON STEAK -/- Not in list -/- -/- -/- Unknown -/- Salmon and trout (Salmo spp );A0C75;A0C75#F01.A086Y$F02.A0EMD$F27.A0C75
1;RAW SALMON -/- Not in list -/- -/- -/- Unprocessed -/- Salmon and trout (Salmo spp );A0C75;A0C75#F01.A086Y$F02.A0EMD$F27.A0C75
1;WHOLE -/- Not in list -/- -/- -/- Unprocessed -/- Salmon and trout (Salmo spp );A0F2H;A0F2H#F01.A0F2J$F02.A0EMD$F27.A0F2H
1;TROUT -/- Not in list -/- -/- -/- Unprocessed -/- FILLET -/- Salmon and trout (Salmo spp );A029F;A029F#F01.A086Y$F02.A0EMD$F27.A029F
